date,tag,downloads
2026-08-17,v0.4.12,1
2026-08-17,v0.4.11,3
2026-08-17,v0.4.10,1
2026-08-17,v0.4.9,1
2026-08-17,v0.4.8,1
2026-08-17,v0.4.7,1
2026-08-17,v0.4.6,1
2026-08-17,v0.4.5,1
2026-08-17,v0.4.4,1
2026-08-17,v0.4.3,2
2026-08-17,v0.4.2,1
2026-08-17,v0.4.1,1
2026-08-17,v0.4.0,1
2026-08-17,v0.3.5,1
2026-08-17,v0.3.4,1
2026-08-17,v0.3.3,1
2026-08-17,v0.3.2,1
2026-08-17,v0.3.1,1
2026-08-17,v0.3.0,1
2026-08-17,v0.2.5,1
2026-08-17,v0.2.3,4
2026-08-17,v0.2.1,1
2026-08-17,v0.2.0,1
2026-08-18,v0.5.8,12
2026-08-18,v0.5.7,0
2026-08-18,v0.5.6,3
2026-08-18,v0.5.5,0
2026-08-18,v0.5.4,0
2026-08-18,v0.5.3,0
2026-08-18,v0.5.2,2
2026-08-18,v0.5.1,3
2026-08-18,v0.5.0,1
2026-08-18,v0.4.16,1
2026-08-18,v0.4.15,3
2026-08-18,v0.4.14,3
2026-08-18,v0.4.13,1
2026-08-18,v0.4.12,1
2026-08-18,v0.4.11,3
2026-08-18,v0.4.10,1
2026-08-18,v0.4.9,1
2026-08-18,v0.4.8,1
2026-08-18,v0.4.7,1
2026-08-18,v0.4.6,1
2026-08-18,v0.4.5,1
2026-08-18,v0.4.4,1
2026-08-18,v0.4.3,2
2026-08-18,v0.4.2,1
2026-08-18,v0.4.1,1
2026-08-18,v0.4.0,1
2026-08-18,v0.3.5,1
2026-08-18,v0.3.4,1
2026-08-18,v0.3.3,1
2026-08-18,v0.3.2,1
2026-08-18,v0.3.1,1
2026-08-18,v0.3.0,1
2026-08-18,v0.2.5,1
2026-08-18,v0.2.3,4
2026-08-18,v0.2.1,1
2026-08-18,v0.2.0,1
2026-08-19,v0.5.8,12
2026-08-19,v0.5.7,0
2026-08-19,v0.5.6,3
2026-08-19,v0.5.5,0
2026-08-19,v0.5.4,0
2026-08-19,v0.5.3,0
2026-08-19,v0.5.2,2
2026-08-19,v0.5.1,3
2026-08-19,v0.5.0,1
2026-08-19,v0.4.16,1
2026-08-19,v0.4.15,3
2026-08-19,v0.4.14,3
2026-08-19,v0.4.13,1
2026-08-19,v0.4.12,1
2026-08-19,v0.4.11,3
2026-08-19,v0.4.10,1
2026-08-19,v0.4.9,1
2026-08-19,v0.4.8,1
2026-08-19,v0.4.7,1
2026-08-19,v0.4.6,1
2026-08-19,v0.4.5,1
2026-08-19,v0.4.4,1
2026-08-19,v0.4.3,2
2026-08-19,v0.4.2,1
2026-08-19,v0.4.1,1
2026-08-19,v0.4.0,1
2026-08-19,v0.3.5,1
2026-08-19,v0.3.4,1
2026-08-19,v0.3.3,1
2026-08-19,v0.3.2,1
2026-08-19,v0.3.1,1
2026-08-19,v0.3.0,1
2026-08-19,v0.2.5,1
2026-08-19,v0.2.3,4
2026-08-19,v0.2.1,1
2026-08-19,v0.2.0,1
2026-08-20,v0.5.8,13
2026-08-20,v0.5.7,0
2026-08-20,v0.5.6,3
2026-08-20,v0.5.5,0
2026-08-20,v0.5.4,0
2026-08-20,v0.5.3,0
2026-08-20,v0.5.2,2
2026-08-20,v0.5.1,3
2026-08-20,v0.5.0,1
2026-08-20,v0.4.16,1
2026-08-20,v0.4.15,3
2026-08-20,v0.4.14,3
2026-08-20,v0.4.13,1
2026-08-20,v0.4.12,1
2026-08-20,v0.4.11,3
2026-08-20,v0.4.10,1
2026-08-20,v0.4.9,1
2026-08-20,v0.4.8,1
2026-08-20,v0.4.7,1
2026-08-20,v0.4.6,1
2026-08-20,v0.4.5,1
2026-08-20,v0.4.4,1
2026-08-20,v0.4.3,2
2026-08-20,v0.4.2,1
2026-08-20,v0.4.1,1
2026-08-20,v0.4.0,1
2026-08-20,v0.3.5,1
2026-08-20,v0.3.4,1
2026-08-20,v0.3.3,1
2026-08-20,v0.3.2,1
2026-08-20,v0.3.1,1
2026-08-20,v0.3.0,1
2026-08-20,v0.2.5,1
2026-08-20,v0.2.3,4
2026-08-20,v0.2.1,1
2026-08-20,v0.2.0,1
2026-08-21,v0.5.8,13
2026-08-21,v0.5.7,0
2026-08-21,v0.5.6,3
2026-08-21,v0.5.5,0
2026-08-21,v0.5.4,0
2026-08-21,v0.5.3,0
2026-08-21,v0.5.2,2
2026-08-21,v0.5.1,3
2026-08-21,v0.5.0,1
2026-08-21,v0.4.16,1
2026-08-21,v0.4.15,3
2026-08-21,v0.4.14,3
2026-08-21,v0.4.13,1
2026-08-21,v0.4.12,1
2026-08-21,v0.4.11,3
2026-08-21,v0.4.10,1
2026-08-21,v0.4.9,1
2026-08-21,v0.4.8,1
2026-08-21,v0.4.7,1
2026-08-21,v0.4.6,1
2026-08-21,v0.4.5,1
2026-08-21,v0.4.4,1
2026-08-21,v0.4.3,2
2026-08-21,v0.4.2,1
2026-08-21,v0.4.1,1
2026-08-21,v0.4.0,1
2026-08-21,v0.3.5,1
2026-08-21,v0.3.4,1
2026-08-21,v0.3.3,1
2026-08-21,v0.3.2,1
2026-08-21,v0.3.1,1
2026-08-21,v0.3.0,1
2026-08-21,v0.2.5,1
2026-08-21,v0.2.3,4
2026-08-21,v0.2.1,1
2026-08-21,v0.2.0,1
2026-08-22,v0.5.8,13
2026-08-22,v0.5.7,0
2026-08-22,v0.5.6,3
2026-08-22,v0.5.5,0
2026-08-22,v0.5.4,0
2026-08-22,v0.5.3,0
2026-08-22,v0.5.2,2
2026-08-22,v0.5.1,3
2026-08-22,v0.5.0,1
2026-08-22,v0.4.16,1
2026-08-22,v0.4.15,3
2026-08-22,v0.4.14,3
2026-08-22,v0.4.13,1
2026-08-22,v0.4.12,1
2026-08-22,v0.4.11,3
2026-08-22,v0.4.10,1
2026-08-22,v0.4.9,1
2026-08-22,v0.4.8,1
2026-08-22,v0.4.7,1
2026-08-22,v0.4.6,1
2026-08-22,v0.4.5,1
2026-08-22,v0.4.4,1
2026-08-22,v0.4.3,2
2026-08-22,v0.4.2,1
2026-08-22,v0.4.1,1
2026-08-22,v0.4.0,1
2026-08-22,v0.3.5,1
2026-08-22,v0.3.4,1
2026-08-22,v0.3.3,1
2026-08-22,v0.3.2,1
2026-08-22,v0.3.1,1
2026-08-22,v0.3.0,1
2026-08-22,v0.2.5,1
2026-08-22,v0.2.3,4
2026-08-22,v0.2.1,1
2026-08-22,v0.2.0,1
2026-08-23,v0.5.8,13
2026-08-23,v0.5.7,0
2026-08-23,v0.5.6,3
2026-08-23,v0.5.5,0
2026-08-23,v0.5.4,0
2026-08-23,v0.5.3,0
2026-08-23,v0.5.2,2
2026-08-23,v0.5.1,3
2026-08-23,v0.5.0,1
2026-08-23,v0.4.16,1
2026-08-23,v0.4.15,3
2026-08-23,v0.4.14,3
2026-08-23,v0.4.13,1
2026-08-23,v0.4.12,1
2026-08-23,v0.4.11,3
2026-08-23,v0.4.10,1
2026-08-23,v0.4.9,1
2026-08-23,v0.4.8,1
2026-08-23,v0.4.7,1
2026-08-23,v0.4.6,1
2026-08-23,v0.4.5,1
2026-08-23,v0.4.4,1
2026-08-23,v0.4.3,2
2026-08-23,v0.4.2,1
2026-08-23,v0.4.1,1
2026-08-23,v0.4.0,1
2026-08-23,v0.3.5,1
2026-08-23,v0.3.4,1
2026-08-23,v0.3.3,1
2026-08-23,v0.3.2,1
2026-08-23,v0.3.1,1
2026-08-23,v0.3.0,1
2026-08-23,v0.2.5,1
2026-08-23,v0.2.3,4
2026-08-23,v0.2.1,1
2026-08-23,v0.2.0,1
2026-08-24,v0.5.8,13
2026-08-24,v0.5.7,0
2026-08-24,v0.5.6,3
2026-08-24,v0.5.5,0
2026-08-24,v0.5.4,0
2026-08-24,v0.5.3,0
2026-08-24,v0.5.2,2
2026-08-24,v0.5.1,3
2026-08-24,v0.5.0,1
2026-08-24,v0.4.16,1
2026-08-24,v0.4.15,3
2026-08-24,v0.4.14,3
2026-08-24,v0.4.13,1
2026-08-24,v0.4.12,1
2026-08-24,v0.4.11,3
2026-08-24,v0.4.10,1
2026-08-24,v0.4.9,1
2026-08-24,v0.4.8,1
2026-08-24,v0.4.7,1
2026-08-24,v0.4.6,1
2026-08-24,v0.4.5,1
2026-08-24,v0.4.4,1
2026-08-24,v0.4.3,2
2026-08-24,v0.4.2,1
2026-08-24,v0.4.1,1
2026-08-24,v0.4.0,1
2026-08-24,v0.3.5,1
2026-08-24,v0.3.4,1
2026-08-24,v0.3.3,1
2026-08-24,v0.3.2,1
2026-08-24,v0.3.1,1
2026-08-24,v0.3.0,1
2026-08-24,v0.2.5,1
2026-08-24,v0.2.3,4
2026-08-24,v0.2.1,1
2026-08-24,v0.2.0,1
2026-08-25,v0.5.8,14
2026-08-25,v0.5.7,0
2026-08-25,v0.5.6,3
2026-08-25,v0.5.5,0
2026-08-25,v0.5.4,0
2026-08-25,v0.5.3,0
2026-08-25,v0.5.2,2
2026-08-25,v0.5.1,3
2026-08-25,v0.5.0,1
2026-08-25,v0.4.16,1
2026-08-25,v0.4.15,3
2026-08-25,v0.4.14,3
2026-08-25,v0.4.13,1
2026-08-25,v0.4.12,1
2026-08-25,v0.4.11,3
2026-08-25,v0.4.10,1
2026-08-25,v0.4.9,1
2026-08-25,v0.4.8,1
2026-08-25,v0.4.7,1
2026-08-25,v0.4.6,1
2026-08-25,v0.4.5,1
2026-08-25,v0.4.4,1
2026-08-25,v0.4.3,2
2026-08-25,v0.4.2,1
2026-08-25,v0.4.1,1
2026-08-25,v0.4.0,1
2026-08-25,v0.3.5,1
2026-08-25,v0.3.4,1
2026-08-25,v0.3.3,1
2026-08-25,v0.3.2,1
2026-08-25,v0.3.1,1
2026-08-25,v0.3.0,1
2026-08-25,v0.2.5,1
2026-08-25,v0.2.3,4
2026-08-25,v0.2.1,1
2026-08-25,v0.2.0,1
2026-08-26,v0.5.8,14
2026-08-26,v0.5.7,0
2026-08-26,v0.5.6,3
2026-08-26,v0.5.5,0
2026-08-26,v0.5.4,0
2026-08-26,v0.5.3,0
2026-08-26,v0.5.2,2
2026-08-26,v0.5.1,3
2026-08-26,v0.5.0,1
2026-08-26,v0.4.16,1
2026-08-26,v0.4.15,3
2026-08-26,v0.4.14,3
2026-08-26,v0.4.13,1
2026-08-26,v0.4.12,1
2026-08-26,v0.4.11,3
2026-08-26,v0.4.10,1
2026-08-26,v0.4.9,1
2026-08-26,v0.4.8,1
2026-08-26,v0.4.7,1
2026-08-26,v0.4.6,1
2026-08-26,v0.4.5,1
2026-08-26,v0.4.4,1
2026-08-26,v0.4.3,2
2026-08-26,v0.4.2,1
2026-08-26,v0.4.1,1
2026-08-26,v0.4.0,1
2026-08-26,v0.3.5,1
2026-08-26,v0.3.4,1
2026-08-26,v0.3.3,1
2026-08-26,v0.3.2,1
2026-08-26,v0.3.1,1
2026-08-26,v0.3.0,1
2026-08-26,v0.2.5,1
2026-08-26,v0.2.3,4
2026-08-26,v0.2.1,1
2026-08-26,v0.2.0,1
2026-08-27,v0.5.8,14
2026-08-27,v0.5.7,0
2026-08-27,v0.5.6,3
2026-08-27,v0.5.5,0
2026-08-27,v0.5.4,0
2026-08-27,v0.5.3,0
2026-08-27,v0.5.2,2
2026-08-27,v0.5.1,3
2026-08-27,v0.5.0,1
2026-08-27,v0.4.16,1
2026-08-27,v0.4.15,3
2026-08-27,v0.4.14,3
2026-08-27,v0.4.13,1
2026-08-27,v0.4.12,1
2026-08-27,v0.4.11,3
2026-08-27,v0.4.10,1
2026-08-27,v0.4.9,1
2026-08-27,v0.4.8,1
2026-08-27,v0.4.7,1
2026-08-27,v0.4.6,1
2026-08-27,v0.4.5,1
2026-08-27,v0.4.4,1
2026-08-27,v0.4.3,2
2026-08-27,v0.4.2,1
2026-08-27,v0.4.1,1
2026-08-27,v0.4.0,1
2026-08-27,v0.3.5,1
2026-08-27,v0.3.4,1
2026-08-27,v0.3.3,1
2026-08-27,v0.3.2,1
2026-08-27,v0.3.1,1
2026-08-27,v0.3.0,1
2026-08-27,v0.2.5,1
2026-08-27,v0.2.3,4
2026-08-27,v0.2.1,1
2026-08-27,v0.2.0,1
2026-08-28,v0.5.8,14
2026-08-28,v0.5.7,0
2026-08-28,v0.5.6,3
2026-08-28,v0.5.5,0
2026-08-28,v0.5.4,0
2026-08-28,v0.5.3,0
2026-08-28,v0.5.2,2
2026-08-28,v0.5.1,3
2026-08-28,v0.5.0,1
2026-08-28,v0.4.16,1
2026-08-28,v0.4.15,3
2026-08-28,v0.4.14,3
2026-08-28,v0.4.13,1
2026-08-28,v0.4.12,1
2026-08-28,v0.4.11,3
2026-08-28,v0.4.10,1
2026-08-28,v0.4.9,1
2026-08-28,v0.4.8,1
2026-08-28,v0.4.7,1
2026-08-28,v0.4.6,1
2026-08-28,v0.4.5,1
2026-08-28,v0.4.4,1
2026-08-28,v0.4.3,2
2026-08-28,v0.4.2,1
2026-08-28,v0.4.1,1
2026-08-28,v0.4.0,1
2026-08-28,v0.3.5,1
2026-08-28,v0.3.4,1
2026-08-28,v0.3.3,1
2026-08-28,v0.3.2,1
2026-08-28,v0.3.1,1
2026-08-28,v0.3.0,1
2026-08-28,v0.2.5,1
2026-08-28,v0.2.3,4
2026-08-28,v0.2.1,1
2026-08-28,v0.2.0,1
2026-08-29,v0.5.8,14
2026-08-29,v0.5.7,0
2026-08-29,v0.5.6,3
2026-08-29,v0.5.5,0
2026-08-29,v0.5.4,0
2026-08-29,v0.5.3,0
2026-08-29,v0.5.2,2
2026-08-29,v0.5.1,3
2026-08-29,v0.5.0,1
2026-08-29,v0.4.16,1
2026-08-29,v0.4.15,3
2026-08-29,v0.4.14,3
2026-08-29,v0.4.13,1
2026-08-29,v0.4.12,1
2026-08-29,v0.4.11,3
2026-08-29,v0.4.10,1
2026-08-29,v0.4.9,1
2026-08-29,v0.4.8,1
2026-08-29,v0.4.7,1
2026-08-29,v0.4.6,1
2026-08-29,v0.4.5,1
2026-08-29,v0.4.4,1
2026-08-29,v0.4.3,2
2026-08-29,v0.4.2,1
2026-08-29,v0.4.1,1
2026-08-29,v0.4.0,1
2026-08-29,v0.3.5,1
2026-08-29,v0.3.4,1
2026-08-29,v0.3.3,1
2026-08-29,v0.3.2,1
2026-08-29,v0.3.1,1
2026-08-29,v0.3.0,1
2026-08-29,v0.2.5,1
2026-08-29,v0.2.3,4
2026-08-29,v0.2.1,1
2026-08-29,v0.2.0,1
2026-08-30,v0.5.8,14
2026-08-30,v0.5.7,0
2026-08-30,v0.5.6,3
2026-08-30,v0.5.5,0
2026-08-30,v0.5.4,0
2026-08-30,v0.5.3,0
2026-08-30,v0.5.2,2
2026-08-30,v0.5.1,3
2026-08-30,v0.5.0,1
2026-08-30,v0.4.16,1
2026-08-30,v0.4.15,3
2026-08-30,v0.4.14,3
2026-08-30,v0.4.13,1
2026-08-30,v0.4.12,1
2026-08-30,v0.4.11,3
2026-08-30,v0.4.10,1
2026-08-30,v0.4.9,1
2026-08-30,v0.4.8,1
2026-08-30,v0.4.7,1
2026-08-30,v0.4.6,1
2026-08-30,v0.4.5,1
2026-08-30,v0.4.4,1
2026-08-30,v0.4.3,2
2026-08-30,v0.4.2,1
2026-08-30,v0.4.1,1
2026-08-30,v0.4.0,1
2026-08-30,v0.3.5,1
2026-08-30,v0.3.4,1
2026-08-30,v0.3.3,1
2026-08-30,v0.3.2,1
2026-08-30,v0.3.1,1
2026-08-30,v0.3.0,1
2026-08-30,v0.2.5,1
2026-08-30,v0.2.3,4
2026-08-30,v0.2.1,1
2026-08-30,v0.2.0,1
2026-08-31,v0.5.8,14
2026-08-31,v0.5.7,0
2026-08-31,v0.5.6,3
2026-08-31,v0.5.5,0
2026-08-31,v0.5.4,0
2026-08-31,v0.5.3,0
2026-08-31,v0.5.2,2
2026-08-31,v0.5.1,3
2026-08-31,v0.5.0,1
2026-08-31,v0.4.16,1
2026-08-31,v0.4.15,3
2026-08-31,v0.4.14,3
2026-08-31,v0.4.13,1
2026-08-31,v0.4.12,1
2026-08-31,v0.4.11,3
2026-08-31,v0.4.10,1
2026-08-31,v0.4.9,1
2026-08-31,v0.4.8,1
2026-08-31,v0.4.7,1
2026-08-31,v0.4.6,1
2026-08-31,v0.4.5,1
2026-08-31,v0.4.4,1
2026-08-31,v0.4.3,2
2026-08-31,v0.4.2,1
2026-08-31,v0.4.1,1
2026-08-31,v0.4.0,1
2026-08-31,v0.3.5,1
2026-08-31,v0.3.4,1
2026-08-31,v0.3.3,1
2026-08-31,v0.3.2,1
2026-08-31,v0.3.1,1
2026-08-31,v0.3.0,1
2026-08-31,v0.2.5,1
2026-08-31,v0.2.3,4
2026-08-31,v0.2.1,1
2026-08-31,v0.2.0,1
2026-09-01,v0.5.8,14
2026-09-01,v0.5.7,0
2026-09-01,v0.5.6,3
2026-09-01,v0.5.5,0
2026-09-01,v0.5.4,0
2026-09-01,v0.5.3,0
2026-09-01,v0.5.2,2
2026-09-01,v0.5.1,3
2026-09-01,v0.5.0,1
2026-09-01,v0.4.16,1
2026-09-01,v0.4.15,3
2026-09-01,v0.4.14,3
2026-09-01,v0.4.13,1
2026-09-01,v0.4.12,1
2026-09-01,v0.4.11,3
2026-09-01,v0.4.10,1
2026-09-01,v0.4.9,1
2026-09-01,v0.4.8,1
2026-09-01,v0.4.7,1
2026-09-01,v0.4.6,1
2026-09-01,v0.4.5,1
2026-09-01,v0.4.4,1
2026-09-01,v0.4.3,2
2026-09-01,v0.4.2,1
2026-09-01,v0.4.1,1
2026-09-01,v0.4.0,1
2026-09-01,v0.3.5,1
2026-09-01,v0.3.4,1
2026-09-01,v0.3.3,1
2026-09-01,v0.3.2,1
2026-09-01,v0.3.1,1
2026-09-01,v0.3.0,1
2026-09-01,v0.2.5,1
2026-09-01,v0.2.3,4
2026-09-01,v0.2.1,1
2026-09-01,v0.2.0,1
2026-09-02,v0.5.8,15
2026-09-02,v0.5.7,0
2026-09-02,v0.5.6,3
2026-09-02,v0.5.5,0
2026-09-02,v0.5.4,0
2026-09-02,v0.5.3,0
2026-09-02,v0.5.2,2
2026-09-02,v0.5.1,3
2026-09-02,v0.5.0,1
2026-09-02,v0.4.16,1
2026-09-02,v0.4.15,3
2026-09-02,v0.4.14,3
2026-09-02,v0.4.13,1
2026-09-02,v0.4.12,1
2026-09-02,v0.4.11,3
2026-09-02,v0.4.10,1
2026-09-02,v0.4.9,1
2026-09-02,v0.4.8,1
2026-09-02,v0.4.7,1
2026-09-02,v0.4.6,1
2026-09-02,v0.4.5,1
2026-09-02,v0.4.4,1
2026-09-02,v0.4.3,2
2026-09-02,v0.4.2,1
2026-09-02,v0.4.1,1
2026-09-02,v0.4.0,1
2026-09-02,v0.3.5,1
2026-09-02,v0.3.4,1
2026-09-02,v0.3.3,1
2026-09-02,v0.3.2,1
2026-09-02,v0.3.1,1
2026-09-02,v0.3.0,1
2026-09-02,v0.2.5,1
2026-09-02,v0.2.3,4
2026-09-02,v0.2.1,1
2026-09-02,v0.2.0,1
2026-09-03,v0.5.8,15
2026-09-03,v0.5.7,0
2026-09-03,v0.5.6,3
2026-09-03,v0.5.5,0
2026-09-03,v0.5.4,0
2026-09-03,v0.5.3,0
2026-09-03,v0.5.2,2
2026-09-03,v0.5.1,3
2026-09-03,v0.5.0,1
2026-09-03,v0.4.16,1
2026-09-03,v0.4.15,3
2026-09-03,v0.4.14,3
2026-09-03,v0.4.13,1
2026-09-03,v0.4.12,1
2026-09-03,v0.4.11,3
2026-09-03,v0.4.10,1
2026-09-03,v0.4.9,1
2026-09-03,v0.4.8,1
2026-09-03,v0.4.7,1
2026-09-03,v0.4.6,1
2026-09-03,v0.4.5,1
2026-09-03,v0.4.4,1
2026-09-03,v0.4.3,2
2026-09-03,v0.4.2,1
2026-09-03,v0.4.1,1
2026-09-03,v0.4.0,1
2026-09-03,v0.3.5,1
2026-09-03,v0.3.4,1
2026-09-03,v0.3.3,1
2026-09-03,v0.3.2,1
2026-09-03,v0.3.1,1
2026-09-03,v0.3.0,1
2026-09-03,v0.2.5,1
2026-09-03,v0.2.3,4
2026-09-03,v0.2.1,1
2026-09-03,v0.2.0,1
